Page, QueryString, Method, ExecTime, Referer, TotalTime
/StandardTemplates/Handlers/TTSHandler.ashx," ""type=2&textData=%e5%bb%a0%e5%95%86%e6%b4%be%e9%a7%90%e4%ba%a4%e9%80%9a%e9%83%a8%e8%a7%80%e5%85%89%e5%b1%80%e9%a7%90%e9%bb%9e%e4%ba%ba%e5%93%a1%e5%a6%82%e6%9c%89%e9%81%95%e5%8f%8d%e5%8b%9e%e5%8b%95%e5%9f%ba%e6%ba%96%e6%b3%95%e4%bb%a4%e5%8f%8a%e5%85%a9%e6%80%a7%e5%b9%b3%e7%ad%89%e6%b3%95%e7%ad%89%e6%83%85%e4%ba%8b%ef%bc%8c%e8%ab%8b%e6%b4%bd%e4%ba%a4%e9%80%9a%e9%83%a8%e8%a7%80%e5%85%89%e5%b1%80%e5%90%84%e6%a5%ad%e5%8b%99%e6%89%bf%e8%be%a6%e4%ba%ba%e6%88%96%e7%a7%98%e6%9b%b8%e5%ae%a4%e6%9e%97%e5%ae%8f%e5%be%b7%e5%85%88%e7%94%9f%ef%bc%88%e5%88%86%e6%a9%9f%ef%bc%9a8655%ef%bc%89%e8%be%a6%e7%90%86%e3%80%82%0d""", GET, 2019-02-16 17:06:42 , -,60171
/FileUploadCategoryListC005100.aspx," ""CategoryID=249547b4-089a-404c-8beb-c44deb4a7418&appname=FileUploadCategory5107""", GET, 2019-02-16 17:16:20 , https://admin.taiwan.net.tw/FileUploadCategoryListC005100.aspx?CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107,22656
/FileUploadCategoryListC005100.aspx," ""CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107""", GET, 2019-02-16 17:16:20 , https://www.google.com/,23890
/FileUploadCategoryListC005100.aspx," ""CategoryID=a28f13db-115e-4684-a064-cddd0f99bb1a&appname=FileUploadCategory5106""", GET, 2019-02-16 17:16:45 , https://www.google.com.tw/,20296
/index.aspx/public/news/public/news/news/news/public/news/news/news/news/news/news/news/FileUploadCategoryListC003400.aspx," ""CategoryID=6af4d2f8-820d-494f-a725-5eeb934e5fbb&appname=FileUploadCategory3401""", GET, 2019-02-16 18:00:32 , -,21843
/index.aspx/public/news/public/public/news/public/news/public/news/news/public/news/news/news/news/public/public/public/news/public/news/news/FileUploadCategoryListC003A00.aspx," ""-""", GET, 2019-02-16 18:00:42 , -,26296
/index.aspx/news/public/public/news/news/news/news/news/public/public/public/news/public/news/public/public/news/news/news/news/news/news/public/public/ActivitiesDetailC001200.aspx," ""Cond=958528d3-3d30-4e1e-9a8f-6b03cb37ac4f""", GET, 2019-02-16 18:00:42 , -,22984
/index.aspx/public/news/public/news/news/news/public/news/news/news/news/news/news/news/FileUploadCategoryListC003400.aspx," ""CategoryID=6af4d2f8-820d-494f-a725-5eeb934e5fbb&appname=FileUploadCategory3401""", GET, 2019-02-16 18:00:52 , -,26046
/index.aspx/news/public/news/news/news/news/public/public/news/news/news/public/public/public/news/public/public/news/public/news/public/public/public/news/ActivitiesDetailC001200.aspx," ""Cond=54cfaee0-744b-4049-9dae-e0d3ed1320fc""", GET, 2019-02-16 18:00:53 , -,31000
/TravelIndustryList.aspx," ""Pindex=179""", GET, 2019-02-16 18:00:58 , -,51093
/index.aspx/news/public/public/news/news/news/news/public/public/news/news/news/public/public/public/public/news/public/public/public/public/public/public/ActivitiesDetailC001200.aspx," ""Cond=2677e523-62a5-4234-a5b1-ef7ef7a680d3""", GET, 2019-02-16 18:01:18 , -,21859
/index.aspx/public/news/news/news/news/news/public/news/public/news/news/public/news/news/news/ActivitiesDetailC001200.aspx," ""Cond=017c92f5-7023-43ce-b3de-c5b391e3a0d5""", GET, 2019-02-16 18:01:21 , -,21250
/index.aspx/public/public/news/public/public/public/public/public/public/news/news/news/news/public/public/news/public/public/public/ActivitiesDetailC001100.aspx," ""Cond=d5f11256-2987-4b4b-afbd-bb13ab78c6b3""", GET, 2019-02-16 18:01:28 , -,22328
/Page.do," ""pageID=2cb9debb-b696-4daf-9dd8-65c6b6897e09""", GET, 2019-02-16 18:01:31 , https://admin.taiwan.net.tw/FAQDetailC003C00.aspx?Cond=4cc8dc8d-f3b7-418a-91e1-8e6a9944ee6f,61609
